PID,Local address,Remote address,Status
"3592","127.0.0.1@55927","127.0.0.1@8000","ESTABLISHED"
"3592","192.168.2.102@55893","54.174.115.248@443","ESTABLISHED"
"3592","127.0.0.1@55926","127.0.0.1@8000","ESTABLISHED"
"3592","192.168.2.102@55913","172.217.6.34@443","ESTABLISHED"
"3592","127.0.0.1@55929","127.0.0.1@8000","ESTABLISHED"
"3592","127.0.0.1@55928","127.0.0.1@8000","ESTABLISHED"
"3592","192.168.2.102@55892","54.174.115.248@443","ESTABLISHED"
"3592","192.168.2.102@55408","173.194.203.188@5228","ESTABLISHED"
"7364","127.0.0.1@8000","127.0.0.1@55929","ESTABLISHED"
"7364","127.0.0.1@8000","127.0.0.1@55928","ESTABLISHED"
"7364","127.0.0.1@8000","127.0.0.1@55926","ESTABLISHED"
"7364","127.0.0.1@8000","127.0.0.1@55927","ESTABLISHED"
"5052","192.168.2.102@55386","173.194.202.125@5222","ESTABLISHED"
"5052","192.168.2.102@55431","216.58.194.170@443","CLOSE_WAIT"
"5052","192.168.2.102@55387","173.194.202.125@5222","ESTABLISHED"
"1360","::1@51902","::1@51900","ESTABLISHED"
"1360","::1@51900","::1@51902","ESTABLISHED"
"0","fe80::444:a76c:ba88:2f79@55921","fe80::405f:4397:ca03:c4a9@3587","TIME_WAIT"
"9420","192.168.2.102@55337","131.253.34.252@443","ESTABLISHED"
"424","192.168.2.102@55333","65.52.108.184@443","ESTABLISHED"
"5076","fe80::444:a76c:ba88:2f79@55789","fe80::405f:4397:ca03:c4a9@3587","ESTABLISHED"
