"pid","laddr","raddr","status"
"3592","192.168.2.102@59157","216.58.192.14@443","ESTABLISHED"
"3592","192.168.2.102@59146","192.30.253.125@443","ESTABLISHED"
"3592","192.168.2.102@59141","151.101.0.133@443","ESTABLISHED"
"3592","192.168.2.102@58124","173.194.202.188@5228","ESTABLISHED"
"3592","192.168.2.102@59153","54.174.115.248@443","ESTABLISHED"
"3592","192.168.2.102@59174","216.58.192.14@443","ESTABLISHED"
"3592","192.168.2.102@59151","54.174.115.248@443","ESTABLISHED"
"0","192.168.2.102@59162","23.11.12.158@80","TIME_WAIT"
"0","192.168.2.102@59129","172.217.5.104@443","TIME_WAIT"
"0","192.168.2.102@59127","216.58.192.14@443","TIME_WAIT"
"0","192.168.2.102@59133","172.217.6.37@443","TIME_WAIT"
"0","127.0.0.1@8000","127.0.0.1@59173","TIME_WAIT"
"5052","192.168.2.102@58907","216.58.195.74@443","CLOSE_WAIT"
"5052","192.168.2.102@57444","173.194.202.125@5222","ESTABLISHED"
"5052","192.168.2.102@58763","216.58.192.13@443","CLOSE_WAIT"
"1360","::1@56297","::1@56295","ESTABLISHED"
"1360","::1@56295","::1@56297","ESTABLISHED"
"3088","192.168.2.102@59172","104.18.57.159@80","CLOSE_WAIT"
"14052","192.168.2.102@57412","158.85.224.178@443","ESTABLISHED"
"424","192.168.2.102@57335","65.52.108.208@443","ESTABLISHED"
"9420","192.168.2.102@59025","65.52.108.206@443","ESTABLISHED"
"5076","fe80::444:a76c:ba88:2f79@59119","fe80::405f:4397:ca03:c4a9@3587","ESTABLISHED"
